Task,Original Instruction,Variant 1,Variant 2,Variant 3
MakeIceLemonade,"Grab a lemon wedge from the fridge and one ice cube from the ice bowl, and put them in the glass of lemonade.","Take a lemon wedge from the fridge and an ice cube from the bowl, then drop both into the lemonade glass.","Pick a lemon wedge out of the fridge, pick an ice cube from the bowl, and put them into the glass of lemonade.","First, take a lemon wedge from the refrigerator and put it in the cup. Then add one cube of ice from the bowl."
SeparateFreezerRack,Take the meat container that has the {meat_lang} and place it on the second highest rack of the freezer.  Then take the vegetable container that has the {veg_lang} and place it on the highest rack of the freezer.,"Place the {veg_lang} container on the uppermost rack of the freezer. Then, store the {meat_lang} container on the second-highest rack.",Arrange the freezer contents so that the {veg_lang} container is placed on top shelf and the {meat_lang} container sits on the shelf below.,"Set the container with {meat_lang} on the freezerâ€™s second shelf from the top. Afterward, put the container holding {veg_lang} on the highest shelf."
PackIdenticalLunches,"f""Place one {veg_lang} and one {meat_lang} in each tupperware on the nearby counter, to pack two identical lunches.""",Arrange the food so that each lunch box on the counter holds exactly one {veg_lang} and one {meat_lang}.,Grab a {veg_lang} and a {meat_lang} from the fridge and drop them into the first container; then do the same for the second container so both lunches are identical.,Pack two identical lunches by ensuring that each tupperware has a {veg_lang} and a {meat_lang}.
GatherTableware,Gather all objects into one cabinet and sort the glasses and bowls to opposite sides,"Collect all the items into a single cabinet, then separate the glasses and bowls to different sides.","Place all objects inside a single cabinet, positioning the glasses to one end and the bowls to the other.","Put all objects inside one cupboard, with bowls on one side and glasses on the other side."
CategorizeCondiments,Put the shaker and condiment bottle from the counter next to their counterparts in the cabinet.,Take the shaker and the condiment bottle from the counter and place each beside its matching item inside the cabinet.,"Place the shaker on the counter by the shaker in the cupboard, and the condiment bottle on the counter by the condiment bottle in the cupboard.",Move the shaker and condiment bottle from the counter so that they sit right next to the corresponding items inside the cabinet.
KettleBoiling,Pick the kettle from the counter and place it on a stove burner. Then turn the burner on.,"Grab the kettle off the counter, set it onto a stove burner, and switch the burner on.","Take the kettle from the counter, move it to a stove burner, and turn the burner to on.","Pick up the kettle, set it down on a burner, and switch that burner on."
PrepareCoffee,"Pick the {obj_name} from the cabinet, place it under the coffee machine dispenser, and press the start button.","Grab the {obj_name} from the cabinet, put it beneath the coffee machine dispenser, and press start.","Retrieve the {obj_name}, set it beneath the dispenser of the coffee maker, and press the button to begin.","Get the {obj_name} out of the cabinet, move it to the coffee machine, and press the button to begin brewing."
CuttingToolSelection,Place the appropriate cutting tool for cutting the {cat} skin on the cutting board.,Select the right utensil for the peeling {cat} skin and set it down on the board.,Take the proper utensil for handling the {cat} skin and put it on the board.,Choose the correct tool for working with the {cat} skin and position it on the cutting board.
RinseSinkBasin,Turn on the sink and manuever the spout to wash all locations of the sink basin.,Switch on the sink and move the faucet back and forth to rinse every part of the basins.,Run the sink and sweep the spout across all basins to clean all spots.,Turn on the tap and shift the faucet side to side to rinse the whole sink.
SearingMeat,"f""Grab the pan from the cabinet and place it on the {self.knob.replace('_', ' ')} burner on the stove. ""
            f""Then place the {meat_name} on the stove and turn the burner on.""","Take the pan from the cabinet, set it on the {knob} burner, then put the {meat_name} in the pan and switch the burner on.","Grab the pan, put it on the {knob} stovetop burner, add the {meat_name}, and turn the heat on.","Retrieve the pan from storage, place it over the {knob} burner element, add the {meat_name}, and activate the burner."
GarnishPancake,"Take the strawberry from the fridge and place it on top of the pancake, located on the dining counter.",Take a strawberry from the fridge and lay it carefully on the pancake placed on the dining table.,"Retrieve the strawberry out of the refrigerator, then put it on top of the pancake on the counter.",Pick a strawberry out of the refrigerator and place it atop the pancake sitting on the dining table.
LoadDishwasher,"f""Pick up the {dish0_lang} and {dish1_lang} from the counter, place them in the dishwasher, ""
            f""and close the dishwasher door.""","Grab the {dish0_lang} and {dish1_lang} off the counter, load them into the dishwasher, and shut the door.","Take the {dish0_lang} and {dish1_lang} from the countertop, put them inside the dishwasher, then close it fully.","Take the {dish0_lang} and {dish1_lang}, set them in the dishwasher, and push the door closed."
WashLettuce,Wash the lettuce in the sink by running water over it,"Turn on the sink. Then, pick the lettuce from the counter and place it under the sink to wash it.",Turn on the tap and wash the lettuce thoroughly under the stream of water.,"Turn the sink on. Then, rinse the lettuce under the running water in the sink."
ArrangeTea,"""Pick the kettle from the counter and place it on the tray. "" ""Then pick the mug from the cabinet and place it on the tray. "" ""Then close the cabinet doors.""","Grab the kettle from the counter, set it on the tray. Then take the mug from the cabinet, put it on the tray, and shut the cabinet doors.",Take the kettle from the counter and place it on the tray; then add the mug from the cabinet to the tray and shut the cabinet doors.,"Put the kettle from the counter onto the tray, place the mug from the cabinet next to it; finish by shutting the cabinet doors."
BreadSelection,"""From the different types of pastries on the counter, select a croissant and place it on the cutting board. ""
            ""Then retrieve a jar of jam from the cabinet and place it alongside the croissant on the cutting board.""","Pick a croissant from the pastries on the counter and put it on the cutting board. Next, grab a jar of jam from the cabinet and set it beside the croissant.","Take a croissant from the counter, place it on the board, and finish by placing a jam jar from the cabinet beside it.",Grab a croissant from among the pastries and set it on the board. Then take a jam jar from the cupboard and put it alongside the cutting board.
WeighIngredients,"""Pick the {obj_lang} and place it on the digital scale for weighing, and close the cabinet.""","Grab the {obj_lang}, put it onto the digital scale to weigh, and shut the cabinet afterward.",Retrieve the {obj_lang} and set it down on the digital scale; finish by closing the cabinet.,"Place the {obj_lang}  on the scale; afterward, close the cabinet."
StackBowlsCabinet,"""Pick up the bowls on the counter and stack them on top of one another in the open cabinet. ""
            ""Place the smaller bowl on top of the larger bowl.""","Take the bowls from the countertop and place them into the open cabinet, stacking the smaller bowl above the larger.",Take the bowls and put them into the cabinet by stacking them.,"Move the bowls from the counter into the open cupboard, stacking them carefully with the smaller resting on the bigger."
RecycleBottlesByType,"""Move the plastic bottles in the middle to the plastics group, ""
            ""and the glass bottles in the middle to the glass group.""","Sort the plastic bottles in the center into the plastic pile, and the glass bottles into the glass pile.","Move the bottles in the middle, placing plastics with the plastics and glasses with the glasses.","Move plastic bottles over to the plastics cluster on one side, and glass bottles over to the glass cluster on the other side."
PreSoakPan,"""Pick the pan and sponge and place them into the sink. Then turn on the water.""","Grab the pan and sponge, put them into the sink, and then switch on the water.","Place the pan and sponge inside the sink, then turn on the faucet to run water.","Pick the sponge and the pan, place them in the sink, and run water over them."
PortionHotDogs,"""Place one bun and one sausage from the bowl on each plate.""",Put a single bun and sausage from the bowl onto each plate.,Take exactly one bun and one sausage out of the bowl and set them on each serving plate.,Take one bun along with one sausage and place them on both plates.
HeatKebabSandwich,"""Pick up the kebab skewer and baguette bread, and place them inside the toaster oven. ""
            ""Close the toaster oven door and start by setting the timer.""","Grab the kebab skewer and the baguette, put them into the toaster oven, shut the door, and set the timer.","Insert the skewer and the baguette into the toaster oven, close the oven door, and set the timer.","Take the bread and skewer, move them into the toaster oven, shut the door, and begin heating with the timer."
WaffleReheat,"""Open the microwave, place the bowl with waffle inside the microwave, ""
            ""then close the microwave door and turn it on.""","Place the waffle bowl inside the microwave, then close the door and power it on.","Open the microwave, put the waffle bowl in, then close it and press the power button.","Put the bowl holding the waffle into the microwave, then shut the door and switch it on."
ScrubCuttingBoard,"""Pick up the sponge from the counter and clean the cutting board by briefly ""
            ""scrubbing or pressing down on the cutting board. Once finished, release the sponge.""","Grab the sponge from the counter and scrub the cutting board to clean it. When done, place the sponge back down.","With the sponge, wipe down the cutting board. Once the cleaning is complete, set the sponge down.","Take the sponge from the counter, clean the cutting board by scrubbing it, and afterward return the sponge to the counter."
StirVegetables,"f""Put the {veg1_lang} and {veg2_lang} in the pot. ""
            f""Retrieve the spatula and lightly stir the vegetables in the pot.""","Place the {veg1_lang} and {veg2_lang} into the pot, then grab the spatula and gently stir them.",Put the {veg1_lang} and {veg2_lang} in the pot and use the spatula to stir them lightly.,Drop the {veg1_lang} and {veg2_lang} into the pot. Grab the spatula to gently stir the vegetables around.
DeliverStraw,"""Take a straw from the drawer in front and place it inside the glass cup on the dining counter.""",Grab a straw from the front drawer and put it into the glass cup on the dining counter.,Get a straw from the drawer and place it in the drinking glass on the countertop.,Retrieve a straw from the front drawer and insert it into the glass on the counter.
PanTransfer,"""Pick up the pan and dump the vegetables in it onto the plate. ""
            ""Then return the pan to the stove.""","Take the pan, transfer the vegetables inside it onto the plate, then put the pan back on the stove.","Pick the pan, empty its vegetables onto the plate, and return the pan to the burner.","Lift the pan, dump its contents onto the plate, and place the pan back on the stove when finished."
ArrangeBreadBasket,"""Open the cabinet, pick up the {bread_name} from the cabinet and place it in the basket. ""
            ""Then move the basket to the dining counter.""","Open the cupboard, grab the {bread_name}, set it in the basket, and carry the basket to the dining counter.","Retrieve the {bread_name} from the cabinet, place it inside the basket, and move the basket onto the dining counter.","Grab the {bread_name} out of the cabinet, set it inside the basket, and carry the basket to the dining area."
SetUpCuttingStation,"""Pick up the knife from the drawer and place it on the cutting board. Then place the meat from the plate to the cutting board.""","Take the knife out of the drawer and put it on the cutting board. After that, transfer the meat from the plate to the board.","Grab the knife from the drawer, set it on the cutting board, then move the meat from the plate onto the board.","Retrieve the knife from the drawer, put it on the cutting board, and then place the meat from the plate on the board."
SteamInMicrowave,"f""Pick the {vegetable_name} from the sink and place it in the bowl. ""
            ""Then pick the bowl and place it in the microwave. ""
            ""Then close the microwave door and press the start button.""","Grab the {vegetable_name} from the sink, put it into the bowl; then place the bowl in the microwave, shut the door, and press start.","Take the {vegetable_name} out of the sink and set it in the bowl. Next, move the bowl into the microwave, and start the microwave.",Put the {vegetable_name} in the bowl; then microwave it.
StoreLeftoversInBowl,"f""Pick the chicken drumstick and {vegetable_lang} from their plates ""
            f""and place them in the bowl. Then put the bowl in the fridge.""","Take the chicken drumstick along with the {vegetable_lang}, put them in the bowl, then store the bowl inside the refrigerator.","Take both the chicken drumstick and {vegetable_lang}, place them into the container, and store it in the refrigerator.","Take the chicken drumstick and {vegetable_lang} off the plates, put them in the bowl, then move the bowl to the fridge."
GetToastedBread,"""Start the toaster. ""
            ""Once the lever pops up, take the bread to the plate on the dining counter.""","Turn on the toaster. After the lever pops up, move the bread to the plate on the counter.","Start toasting. When the lever comes up, put the bread on the plate on the dining surface.","Turn the toaster on, and after the lever comes up, move the bread over to the plate on the dining counter."
WashFruitColander,"f""Put the colander in the sink, put the {fruit_lang} in the colander, and turn on the sink faucet and pour water over the colander.""","Place the colander inside the sink, put the {fruit_lang} in, and wash them by pouring water from the faucet over the colander.","Place the colander in the sink, put the {fruit_lang} in the colander, and run water from the faucet over it.","Put the colander in the sink, place the {fruit_lang} in it, and let water flow over the colander."